%CraneId;ContainerId;PickupTime;EndTime;PickupPosX;PickupPosY;EndPosX;EndPosY
1;87;0;10;10;5;0;0
1;79;10;44;0;0;0;0
0;159;44;52;1;5;3;0
1;76;52;80;0;0;10;0
1;151;80;84;10;0;13;0
1;154;84;92;13;0;3;3
1;;92;92;3;3;5;3
0;114;92;98;3;0;4;4
1;;98;102;5;3;11;3
0;152;102;108;4;4;10;5
0;107;108;114;10;5;2;6
1;140;114;116;11;3;12;6
0;;116;130;2;6;14;6
1;156;130;154;12;6;15;0
0;132;154;174;14;6;5;7
1;157;174;190;15;0;16;8
1;133;190;196;16;8;6;0
1;129;196;212;6;0;5;0
1;142;212;232;5;0;15;0
0;158;232;234;5;7;7;1
0;100;234;246;7;1;0;1
1;155;246;260;15;0;12;1
0;136;260;274;0;1;1;9
1;;274;275;12;1;13;1
0;149;275;291;1;9;12;1
0;158;291;301;12;1;6;6
0;120;301;305;6;6;6;6
1;60;305;313;13;1;5;9
1;147;313;335;5;9;5;9
